Burned Tokens,Holders,Transfers,Date,Hour
629783152632380.000000,0,0,15/06/2021,22:00
629891443734499.000000,0,0,16/06/2021,22:11
630044920932715.000000,0,0,17/06/2021,22:01
630163689441847.000000,20815,0,18/06/2021,22:01
630232192310120.000000,20900,63600,19/06/2021,22:00
630307664008885.000000,20986,64092,20/06/2021,22:10
630378243054731.000000,21008,64505,21/06/2021,22:03
630449544714139.000000,21040,64850,22/06/2021,22:01
630514244454943.000000,21080,65209,23/06/2021,22:09
630557205552974.000000,21126,65652,24/06/2021,22:01
630629207264800.000000,21204,66011,25/06/2021,22:54
630681242915675.000000,21233,66295,26/06/2021,22:19
630918929152503.000000,21504,67165,27/06/2021,22:03
631000917250943.000000,21632,67795,28/06/2021,22:04
631102312188072.000000,21700,68285,29/06/2021,22:21
631135865727883.000000,21792,68750,30/06/2021,22:01
631192064133876.000000,21843,69171,01/07/2021,22:02
631255024678511.000000,21824,69455,02/07/2021,22:00
631269297660961.000000,21829,69766,03/07/2021,23:25
631374254812747.000000,21811,70141,04/07/2021,22:09
631433200820318.000000,21811,70474,05/07/2021,22:05
631468491830794.000000,21896,70886,06/07/2021,22:01
631608579065813.000000,22080,71714,07/07/2021,22:20
631689335008333.000000,22212,72237,08/07/2021,22:28
631749098721108.000000,22288,72603,09/07/2021,22:04
631893110062666.000000,22501,73373,10/07/2021,10:48
631931820589563.000000,22556,73618,11/07/2021,22:02
632107143823051.000000,22989,75049,12/07/2021,22:02
632445821828378.000000,23740,77961,13/07/2021,22:01
632806580259476.000000,24851,82193,14/07/2021,22:28
633056381153923.000000,25363,84513,15/07/2021,22:13
633183239218774.000000,25593,85778,16/07/2021,22:00
633310097283625.000000,25823,87043,17/07/2021,22:09
633413475960900.000000,26037,87953,18/07/2021,22:06
633480541379401.000000,26192,88747,19/07/2021,22:00
633596875786617.000000,26383,89605,20/07/2021,22:36
633684012380912.000000,26569,90331,21/07/2021,22:20
633766755660520.000000,26749,91155,22/07/2021,22:01
633943447391625.000000,27166,92690,23/07/2021,22:00
634073678412512.000000,27422,93947,24/07/2021,23:57
634133813492639.000000,27451,94428,25/07/2021,22:19
634247033780668.000000,27507,95086,26/07/2021,22:14
634325026630059.000000,27580,95560,27/07/2021,23:14
634467450666962.000000,27696,96109,28/07/2021,22:32
634558070242519.000000,27766,96509,29/07/2021,22:00
634629966947280.000000,27775,96840,30/07/2021,22:09
634684974301665.000000,27780,97127,31/07/2021,22:19
634863133601303.000000,27797,97355,01/08/2021,22:42
634958375248861.000000,27963,97927,02/08/2021,22:10
635008395955710.000000,28035,98238,03/08/2021,22:04
635048624051067.000000,28058,98494,04/08/2021,22:00
635087325547240.000000,28114,98781,05/08/2021,22:00
635120566862340.000000,28132,98967,06/08/2021,22:07
635192512865574.000000,28185,99197,07/08/2021,22:42
635229050179148.000000,28198,99538,08/08/2021,22:26
635290143904362.000000,28235,99699,09/08/2021,22:50
635341559629732.000000,28363,100114,10/08/2021,22:47:32
635396921816245.500000,28462,100512,11/08/2021,22:17:17
635435841500997.375000,28526,100793,12/08/2021,22:29:28
635502721060583.500000,28540,101005,13/08/2021,22:11:09
