Burned Tokens,Holders,Date
634240596242556.500000,27507,2021/07/26
634240606764799.250000,27505,2021/07/26
634241170721959.750000,27507,2021/07/26
634241896636619.875000,27508,2021/07/26
634241930239469.250000,27507,2021/07/26
634242138071902.000000,27506,2021/07/26
634255459545884.875000,27511,2021/07/27
634274377833643.625000,27532,2021/07/27
634275717657170.625000,27533,2021/07/27
634276129585265.250000,27531,2021/07/27
634276129585265.250000,27531,2021/07/27
634276129585265.250000,27531,2021/07/27
634276213043357.875000,27531,2021/07/27
634276222214062.750000,27531,2021/07/27
634276214884159.125000,27530,2021/07/27
634276224054864.125000,27530,2021/07/27
634276251061840.375000,27530,2021/07/27
634276252330392.875000,27530,2021/07/27
